Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
"Бани, гостиницы и зоны отдыха · 360 м²",150000000,416667,Алматы,,2000.0,360.0,23 нояб.,476
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 65 м²",54500000,838462,Алматы,,1991.0,65.0,23 нояб.,136
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 450 м²",65000000,144444,Алматы,,,450.0,23 нояб.,768
"Свободное назначение, офисы, магазины и бутики, общепит · 375.28 м²",510380000,1359998,Алматы,,2021.0,375.28,23 нояб.,571
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 988 м²",700000000,708502,Алматы,,2020.0,988.0,23 нояб.,94
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 30 м²",38000000,1266667,Алматы,,,30.0,23 нояб.,1632
"Офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 46 м²",20000000,434783,Алматы,,2013.0,46.0,23 нояб.,225
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 130 м²",50000000,384615,Алматы,,1980.0,130.0,23 нояб.,52
Свободное назначение · 1300 м²,105000000,80769,Алматы,,2010.0,1300.0,23 нояб.,13312
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование · 60 м²",75000000,1250000,Алматы,,1964.0,60.0,23 нояб.,19
Склады · 6.4 м²,1000000,156250,Алматы,,,6.4,23 нояб.,444
"Свободное назначение, офисы, магазины и бутики, общепит, медцентры и аптеки, образование, развлечения · 5200 м²",2500000000,480769,Алматы,,2013.0,5200.0,23 нояб.,3437
"Склады, азс, автосервисы и автомойки, бани, гостиницы и зоны отдыха · 3188.5 м²",1100000000,344990,Алматы,,2004.0,3188.5,23 нояб.,974
Магазины и бутики · 17 м²,10500000,617647,Алматы,,1987.0,17.0,23 нояб.,373
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 90.6 м²",32000000,353201,Алматы,,2023.0,90.6,23 нояб.,1185
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 68 м²",19000000,279412,Алматы,,2008.0,68.0,23 нояб.,348
"Офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 200 м²",140000000,700000,Алматы,,,200.0,23 нояб.,986
Свободное назначение · 410 м²,250000000,609756,Алматы,,2024.0,410.0,23 нояб.,518
"Свободное назначение, магазины и бутики, склады, общепит · 14 м²",790000,56429,Алматы,,,14.0,23 нояб.,258
Общепит · 700 м²,480000000,685714,Алматы,,,700.0,23 нояб.,5942
Склады · 3.8 м²,950000,250000,Алматы,,,3.8,23 нояб.,1377
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 77 м²",50000000,649351,Алматы,,2019.0,77.0,23 нояб.,122
"Офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 64 м²",68000000,1062500,Алматы,,2015.0,64.0,23 нояб.,144
"Бани, гостиницы и зоны отдыха · 1335 м²",1330000000,996255,Алматы,,2011.0,1335.0,23 нояб.,884
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 30 м²",30000000,1000000,Алматы,,2012.0,30.0,23 нояб.,178
"Свободное назначение, офисы, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 54 м²",22600000,418519,Алматы,,2008.0,54.0,23 нояб.,3682
"Свободное назначение, офисы · 132.4 м²",132400000,1000000,Алматы,,2024.0,132.4,23 нояб.,325
Свободное назначение · 81 м²,68850000,850000,Алматы,,2025.0,81.0,23 нояб.,517
"Свободное назначение, офисы, склады, образование, развлечения · 300 м²",42000000,140000,Алматы,,2021.0,300.0,23 нояб.,447
Свободное назначение · 46 м²,17500,380,Алматы,,2020.0,46.0,23 нояб.,77
Свободное назначение · 55.4 м²,11000000,198556,Алматы,,2023.0,55.4,23 нояб.,1420
Образование · 504 м²,110000000,218254,Алматы,,2017.0,504.0,23 нояб.,259
Свободное назначение · 45.4 м²,18000000,396476,Алматы,,2021.0,45.4,23 нояб.,642
Свободное назначение · 55.7 м²,22000000,394973,Алматы,,2021.0,55.7,23 нояб.,409
Свободное назначение · 30.4 м²,20000000,657895,Алматы,,2012.0,30.4,23 нояб.,1831
"Свободное назначение, магазины и бутики, склады, азс, автосервисы и автомойки, медцентры и аптеки · 272 м²",165000000,606618,Алматы,,2005.0,272.0,23 нояб.,4196
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование · 209.1 м²",272000000,1300813,Алматы,,2014.0,209.1,23 нояб.,86
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 52 м²",37000000,711538,Алматы,,1960.0,52.0,23 нояб.,119
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование · 128.2 м²",167000000,1302652,Алматы,,2013.0,128.2,23 нояб.,99
"Свободное назначение, офисы, магазины и бутики · 130 м²",58000000,446154,Алматы,,1982.0,130.0,23 нояб.,7929
Магазины и бутики · 29.6 м²,35000000,1182432,Алматы,,2000.0,29.6,23 нояб.,661
Медцентры и аптеки · 47 м²,60000000,1276596,Алматы,,1965.0,47.0,23 нояб.,647
"Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 115 м²",100000000,869565,Алматы,,1973.0,115.0,23 нояб.,685
Общепит · 820 м²,290000000,353659,Алматы,,,820.0,23 нояб.,12227
"Азс, автосервисы и автомойки · 580 м²",195000000,336207,Алматы,,2006.0,580.0,23 нояб.,402
Склады · 2400 м²,950000000,395833,Алматы,,2024.0,2400.0,23 нояб.,317
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 120 м²",84900000,707500,Алматы,,2019.0,120.0,23 нояб.,1645
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 700 м²",160000000,228571,Алматы,,,700.0,23 нояб.,263
"Офисы, склады · 13.9 м²",5500000,395683,Алматы,,,13.9,23 нояб.,2885
"Магазины и бутики, склады · 57 м²",17000000,298246,Алматы,,2012.0,57.0,23 нояб.,790
"Свободное назначение, магазины и бутики, общепит, развлечения · 157 м²",185000000,1178344,Алматы,,,157.0,23 нояб.,395
Свободное назначение · 260 м²,149000000,573077,Алматы,,2002.0,260.0,23 нояб.,1562
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 40.5 м²",26000000,641975,Алматы,,2004.0,40.5,23 нояб.,162
Общепит · 9 м²,2700000,300000,Алматы,,2023.0,9.0,23 нояб.,1361
Свободное назначение · 580 м²,120000000,206897,Алматы,,,580.0,23 нояб.,211
Склады · 1300 м²,180000000,138462,Алматы,,2023.0,1300.0,23 нояб.,1001
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 40.7 м²",35000000,859951,Алматы,,1970.0,40.7,23 нояб.,150
Свободное назначение · 4490.5 м²,1270000000,282819,Алматы,,2022.0,4490.5,23 нояб.,369
Свободное назначение · 643.4 м²,165000000,256450,Алматы,,2023.0,643.4,23 нояб.,1056
Свободное назначение · 204 м²,230000000,1127451,Алматы,,2003.0,204.0,23 нояб.,1505
Склады · 5.4 м²,2700000,500000,Алматы,,2017.0,5.4,23 нояб.,85
"Офисы, магазины и бутики, склады · 13 м²",6900000,530769,Алматы,,2008.0,13.0,23 нояб.,299
"Офисы, склады, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование, развлечения · 1260 м²",740000000,587302,Алматы,,2014.0,1260.0,23 нояб.,45
"Офисы, магазины и бутики, склады, общепит · 180 м²",124999999,694444,Алматы,,2006.0,180.0,22 нояб.,4511
Свободное назначение · 2200 м²,900000000,409091,Алматы,,2023.0,2200.0,22 нояб.,54
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты · 199 м²",110000000,552764,Алматы,,2010.0,199.0,22 нояб.,317
Свободное назначение · 168 м²,320000000,1904762,Алматы,,2023.0,168.0,22 нояб.,416
"Свободное назначение, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, развлечения · 850 м²",350000000,411765,Алматы,,2016.0,850.0,22 нояб.,9673
"Свободное назначение, офисы, образование · 1510 м²",950000000,629139,Алматы,,,1510.0,22 нояб.,423
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 155 м²",290000000,1870968,Алматы,,2023.0,155.0,22 нояб.,36
Свободное назначение · 4 м²,600000,150000,Алматы,,2024.0,4.0,22 нояб.,73
Свободное назначение · 116 м²,130000000,1120690,Алматы,,,116.0,22 нояб.,366
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 407.1 м²",265000000,650946,Алматы,,2020.0,407.1,22 нояб.,108
"Свободное назначение, офисы, образование · 2040 м²",1100000000,539216,Алматы,,2023.0,2040.0,22 нояб.,74
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 86.4 м²",115000000,1331019,Алматы,,2022.0,86.4,22 нояб.,386
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 163 м²",255000000,1564417,Алматы,,1980.0,163.0,22 нояб.,202
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 390 м²",990000000,2538462,Алматы,,2021.0,390.0,22 нояб.,179
"Свободное назначение, офисы, магазины и бутики, бани, гостиницы и зоны отдыха · 650 м²",160000000,246154,Алматы,,2023.0,650.0,22 нояб.,195
"Свободное назначение, офисы, склады, образование · 33.4 м²",10500000,314371,Алматы,,2021.0,33.4,22 нояб.,506
Офисы · 63 м²,69500000,1103175,Алматы,,2015.0,63.0,22 нояб.,126
"Магазины и бутики, общепит · 310 м²",680000000,2193548,Алматы,,,310.0,22 нояб.,2309
"Свободное назначение, офисы, склады, общепит, бани, гостиницы и зоны отдыха, образование, развлечения · 380 м²",350000000,921053,Алматы,,2004.0,380.0,22 нояб.,338
"Свободное назначение, офисы, магазины и бутики, медцентры и аптеки, образование · 152.5 м²",95000000,622951,Алматы,,2022.0,152.5,22 нояб.,623
Общепит · 545 м²,690000000,1266055,Алматы,,1972.0,545.0,22 нояб.,134
Свободное назначение · 1224.5 м²,340000000,277664,Алматы,,2017.0,1224.5,22 нояб.,449
Медцентры и аптеки · 76 м²,55000000,723684,Алматы,,1986.0,76.0,22 нояб.,741
Свободное назначение · 2040 м²,1100000000,539216,Алматы,,2023.0,2040.0,22 нояб.,608
Офисы · 197 м²,220000000,1116751,Алматы,,,197.0,22 нояб.,73
Офисы · 406 м²,290000000,714286,Алматы,,2016.0,406.0,22 нояб.,47
Свободное назначение · 80.4 м²,84000000,1044776,Алматы,,1950.0,80.4,22 нояб.,86
"Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование · 540 м²",698000000,1292593,Алматы,,1994.0,540.0,22 нояб.,432
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 316 м²",583000000,1844937,Алматы,,2024.0,316.0,22 нояб.,61
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 788 м²",850000000,1078680,Алматы,,2001.0,788.0,22 нояб.,355
Свободное назначение · 108.8 м²,33000000,303309,Алматы,,2015.0,108.8,22 нояб.,1299
"Офисы, магазины и бутики, общепит, салоны красоты, развлечения · 98 м²",58000000,591837,Алматы,,2024.0,98.0,22 нояб.,254
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 267.4 м²",175000000,654450,Алматы,,2016.0,267.4,22 нояб.,3373
"Свободное назначение, офисы, салоны красоты, медцентры и аптеки, образование · 87 м²",80000000,919540,Алматы,,1999.0,87.0,22 нояб.,25
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 233 м²",390000000,1673820,Алматы,,2022.0,233.0,22 нояб.,84
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 363.07 м²",762265465,2099500,Алматы,,2026.0,363.07,22 нояб.,131
"Свободное назначение, офисы · 508.8 м²",763200000,1500000,Алматы,,2021.0,508.8,22 нояб.,270
Свободное назначение · 486.1 м²,195898300,403000,Алматы,,2016.0,486.1,22 нояб.,2918
Свободное назначение · 469.1 м²,310737000,662411,Алматы,,2013.0,469.1,22 нояб.,1373
"Свободное назначение, офисы, магазины и бутики, склады, бани, гостиницы и зоны отдыха, образование, развлечения · 600 м²",116000000,193333,Алматы,,,600.0,22 нояб.,2876
"Салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки · 148 м²",166201093,1122980,Алматы,,2008.0,148.0,22 нояб.,582
"Бани, гостиницы и зоны отдыха · 389 м²",500000000,1285347,Алматы,,1999.0,389.0,22 нояб.,213
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 200 м²",155000000,775000,Алматы,,2021.0,200.0,22 нояб.,295
"Свободное назначение, офисы · 44.2 м²",10500000,237557,Алматы,,2021.0,44.2,22 нояб.,118
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование · 35 м²",25000000,714286,Алматы,,,35.0,22 нояб.,294
Магазины и бутики · 150 м²,180000000,1200000,Алматы,,2012.0,150.0,22 нояб.,2253
"Офисы, магазины и бутики, общепит, салоны красоты · 1062 м²",749138209,705403,Алматы,,2015.0,1062.0,22 нояб.,1514
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 350 м²",698000000,1994286,Алматы,,2020.0,350.0,22 нояб.,75
Салоны красоты · 74 м²,50000000,675676,Алматы,,2016.0,74.0,22 нояб.,71
"Свободное назначение, офисы, склады, салоны красоты · 226 м²",154000000,681416,Алматы,,2014.0,226.0,22 нояб.,1840
Свободное назначение · 192 м²,312000000,1625000,Алматы,,2022.0,192.0,22 нояб.,870
"Бани, гостиницы и зоны отдыха · 1200 м²",1200000000,1000000,Алматы,,2024.0,1200.0,22 нояб.,20
"Свободное назначение, офисы, образование · 1000 м²",750000000,750000,Алматы,,2018.0,1000.0,22 нояб.,297
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 511 м²",1200000000,2348337,Алматы,,2023.0,511.0,22 нояб.,77
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 475 м²",800000000,1684211,Алматы,,2023.0,475.0,22 нояб.,106
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 161 м²",249000000,1546584,Алматы,,2023.0,161.0,22 нояб.,57
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование · 168 м²",270000000,1607143,Алматы,,,168.0,22 нояб.,67
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 559.38 м²",615318000,1100000,Алматы,,2024.0,559.38,22 нояб.,378
"Свободное назначение, офисы, магазины и бутики, склады, общепит, медцентры и аптеки, развлечения · 492.5 м²",189612500,385000,Алматы,,2016.0,492.5,22 нояб.,3327
"Свободное назначение, образование · 1351 м²",1041660000,771029,Алматы,,2023.0,1351.0,22 нояб.,197
"Офисы, магазины и бутики, салоны красоты, образование, развлечения · 515 м²",284000000,551456,Алматы,,2020.0,515.0,22 нояб.,97
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки · 48 м²",45000000,937500,Алматы,,1967.0,48.0,22 нояб.,112
Свободное назначение · 62 м²,58888888,949821,Алматы,,1961.0,62.0,22 нояб.,53
"Свободное назначение, офисы, магазины и бутики, образование, развлечения · 102.3 м²",89000000,869990,Алматы,,2001.0,102.3,22 нояб.,1687
Общепит · 548 м²,880000000,1605839,Алматы,,2023.0,548.0,22 нояб.,3529
"Офисы, магазины и бутики, склады, азс, автосервисы и автомойки, салоны красоты, сельское хозяйство, медцентры и аптеки, образование, развлечения · 1037.9 м²",490000000,472107,Алматы,,2016.0,1037.9,22 нояб.,672
"Свободное назначение, офисы, склады, салоны красоты · 30 м²",5500000,183333,Алматы,,2020.0,30.0,22 нояб.,1112
"Свободное назначение, бани, гостиницы и зоны отдыха · 740 м²",370000000,500000,Алматы,,,740.0,22 нояб.,904
Магазины и бутики · 16 м²,20000000,1250000,Алматы,,1985.0,16.0,22 нояб.,981
Свободное назначение · 261 м²,25500000,97701,Алматы,,2022.0,261.0,22 нояб.,12515
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 60 м²",21500000,358333,Алматы,,2022.0,60.0,22 нояб.,629
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 879 м²",370000000,420933,Алматы,,1989.0,879.0,22 нояб.,149
Общепит · 400 м²,550000000,1375000,Алматы,,2015.0,400.0,22 нояб.,154
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 264 м²",240000000,909091,Алматы,,2007.0,264.0,22 нояб.,480
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 65 м²",19500000,300000,Алматы,,1976.0,65.0,22 нояб.,52
"Свободное назначение, магазины и бутики · 45 м²",50000000,1111111,Алматы,,1960.0,45.0,22 нояб.,234
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 119.2 м²",50000000,419463,Алматы,,2012.0,119.2,22 нояб.,5196
Общепит · 210 м²,188000000,895238,Алматы,,2024.0,210.0,22 нояб.,65
Офисы · 31 м²,26000000,838710,Алматы,,1987.0,31.0,22 нояб.,275
"Свободное назначение, офисы, склады, общепит, бани, гостиницы и зоны отдыха, образование, развлечения · 400 м²",250000000,625000,Алматы,,2015.0,400.0,22 нояб.,198
"Бани, гостиницы и зоны отдыха · 2009.1 м²",1900000000,945697,Алматы,,2008.0,2009.1,22 нояб.,281
"Бани, гостиницы и зоны отдыха · 3349.6 м²",1900000000,567232,Алматы,,2007.0,3349.6,22 нояб.,248
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, образование, развлечения · 93.3 м²",75000000,803859,Алматы,,2021.0,93.3,22 нояб.,143
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 1030.5 м²",1100000000,1067443,Алматы,,1979.0,1030.5,22 нояб.,26
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 112.6 м²",185000000,1642984,Алматы,,2025.0,112.6,22 нояб.,53
"Свободное назначение, бани, гостиницы и зоны отдыха · 1800 м²",585000000,325000,Алматы,,,1800.0,22 нояб.,455
"Бани, гостиницы и зоны отдыха · 3000 м²",950000000,316667,Алматы,,2015.0,3000.0,22 нояб.,887
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 170 м²",246674000,1451024,Алматы,,2024.0,170.0,22 нояб.,13
"Свободное назначение, офисы, склады, салоны красоты · 27.2 м²",12000000,441176,Алматы,,2018.0,27.2,22 нояб.,227
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 168 м²",180000000,1071429,Алматы,,1971.0,168.0,22 нояб.,27
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 2040 м²",1100000000,539216,Алматы,,2023.0,2040.0,22 нояб.,44
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 60 м²",22500000,375000,Алматы,,2024.0,60.0,22 нояб.,30
Свободное назначение · 1021 м²,208949745,204652,Алматы,,2006.0,1021.0,22 нояб.,5315
Офисы · 185 м²,110000000,594595,Алматы,,2005.0,185.0,22 нояб.,4822
Свободное назначение · 211.2 м²,56600000,267992,Алматы,,2007.0,211.2,22 нояб.,1279
Свободное назначение · 198 м²,40000000,202020,Алматы,,2007.0,198.0,22 нояб.,1992
Свободное назначение · 217.9 м²,41000000,188160,Алматы,,2007.0,217.9,22 нояб.,972
Свободное назначение · 212.3 м²,39900000,187942,Алматы,,2007.0,212.3,22 нояб.,1455
Свободное назначение · 199.7 м²,40500000,202804,Алматы,,2007.0,199.7,22 нояб.,1217
Свободное назначение · 135.6 м²,27600000,203540,Алматы,,2007.0,135.6,22 нояб.,2998
Свободное назначение · 212.5 м²,38800000,182588,Алматы,,2007.0,212.5,22 нояб.,1858
Свободное назначение · 211.1 м²,38500000,182378,Алматы,,,211.1,22 нояб.,1231
Свободное назначение · 302.3 м²,52700000,174330,Алматы,,2007.0,302.3,22 нояб.,1194
Свободное назначение · 199.6 м²,42000000,210421,Алматы,,2007.0,199.6,22 нояб.,945
Свободное назначение · 275 м²,47000000,170909,Алматы,,2007.0,275.0,22 нояб.,1344
Свободное назначение · 199.4 м²,41000000,205617,Алматы,,2007.0,199.4,22 нояб.,1308
Свободное назначение · 325 м²,490000000,1507692,Алматы,,2017.0,325.0,22 нояб.,361
Свободное назначение · 191 м²,85000000,445026,Алматы,,1992.0,191.0,22 нояб.,3048
Офисы · 57.1 м²,52000000,910683,Алматы,,1973.0,57.1,22 нояб.,3506
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 134 м²",65000000,485075,Алматы,,2016.0,134.0,22 нояб.,29
Общепит · 670 м²,490000000,731343,Алматы,,,670.0,22 нояб.,2004
"Свободное назначение, офисы, магазины и бутики, медцентры и аптеки, образование, развлечения · 542 м²",700000000,1291513,Алматы,,2009.0,542.0,22 нояб.,130
Свободное назначение · 5.5 м²,950000,172727,Алматы,,2018.0,5.5,22 нояб.,52
Свободное назначение · 372.4 м²,62000000,166488,Алматы,,,372.4,22 нояб.,7209
Офисы · 59 м²,43000000,728814,Алматы,,2015.0,59.0,22 нояб.,28
Свободное назначение · 951 м²,499999000,525761,Алматы,,2024.0,951.0,22 нояб.,343
Свободное назначение · 121.6 м²,39000000,320724,Алматы,,1993.0,121.6,22 нояб.,8481
Офисы · 157 м²,114500000,729299,Алматы,,,157.0,22 нояб.,6375
"Свободное назначение, офисы, салоны красоты, бани, гостиницы и зоны отдыха, образование · 534 м²",165000000,308989,Алматы,,2005.0,534.0,22 нояб.,646
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 63.9 м²",9500000,148670,Алматы,,2012.0,63.9,22 нояб.,1203
Свободное назначение · 140 м²,45000000,321429,Алматы,,1985.0,140.0,22 нояб.,5401
"Магазины и бутики, склады, общепит, образование · 188 м²",33000000,175532,Алматы,,2008.0,188.0,22 нояб.,931
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты · 200 м²",127000000,635000,Алматы,,2020.0,200.0,22 нояб.,2952
Офисы · 278 м²,250000000,899281,Алматы,,2002.0,278.0,22 нояб.,1352
Свободное назначение · 38.2 м²,7500000,196335,Алматы,,2021.0,38.2,22 нояб.,290
"Свободное назначение, склады · 4 м²",1200000,300000,Алматы,,2024.0,4.0,22 нояб.,90
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 50 м²",41000000,820000,Алматы,,2024.0,50.0,22 нояб.,1946
Свободное назначение · 2417.2 м²,330000000,136522,Алматы,,,2417.2,22 нояб.,24
Свободное назначение · 272.2 м²,254000000,933137,Алматы,,,272.2,22 нояб.,19
Общепит · 243 м²,510300000,2100000,Алматы,,2024.0,243.0,22 нояб.,12
Свободное назначение · 66.7 м²,45000000,674663,Алматы,,,66.7,22 нояб.,23
"Свободное назначение, магазины и бутики, общепит, салоны красоты, образование, развлечения · 465 м²",270000000,580645,Алматы,,,465.0,22 нояб.,21
"Салоны красоты, медцентры и аптеки · 103.8 м²",65000000,626204,Алматы,,2011.0,103.8,22 нояб.,27
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 196.7 м²",280000000,1423488,Алматы,,,196.7,22 нояб.,18
"Бани, гостиницы и зоны отдыха · 1600 м²",750000000,468750,Алматы,,2007.0,1600.0,22 нояб.,349
"Офисы, медцентры и аптеки · 1470 м²",950000000,646259,Алматы,,2021.0,1470.0,22 нояб.,87
"Свободное назначение, салоны красоты, образование · 183.7 м²",175000000,952640,Алматы,,2022.0,183.7,22 нояб.,243
Салоны красоты · 66 м²,87000000,1318182,Алматы,,2008.0,66.0,22 нояб.,93
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 70 м²",75000000,1071429,Алматы,,2024.0,70.0,22 нояб.,68
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 258.3 м²",309960000,1200000,Алматы,,,258.3,22 нояб.,22
Офисы · 3022 м²,1300000000,430179,Алматы,,1980.0,3022.0,22 нояб.,1593
Свободное назначение · 117 м²,25000000,213675,Алматы,,1982.0,117.0,22 нояб.,4262
Офисы · 240 м²,400000000,1666667,Алматы,,1990.0,240.0,22 нояб.,12
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, образование, развлечения · 40 м²",38999000,974975,Алматы,,2009.0,40.0,22 нояб.,65
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 260.49 м²",260000000,998119,Алматы,,,260.49,22 нояб.,9
"Свободное назначение, склады · 450 м²",120000000,266667,Алматы,,2014.0,450.0,22 нояб.,3066
Свободное назначение · 32 м²,4500000,140625,Алматы,,2014.0,32.0,22 нояб.,561
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 171 м²",249000000,1456140,Алматы,,2022.0,171.0,22 нояб.,28
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 332.4 м²",285000000,857401,Алматы,,,332.4,22 нояб.,19
"Свободное назначение, магазины и бутики, склады · 260 м²",60000000,230769,Алматы,,,260.0,22 нояб.,323
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 131 м²",65000000,496183,Алматы,,2011.0,131.0,22 нояб.,20
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 181.6 м²",210000000,1156388,Алматы,,,181.6,22 нояб.,19
