Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
2-комнатная квартира · 60.28 м² · 7/10 этаж,23950000,Алматы,,2024.0,2,60.28,7.0,23 нояб.,114
2-комнатная квартира · 70 м² · 4/17 этаж,49000000,Алматы,,2017.0,2,70.0,4.0,23 нояб.,73
1-комнатная квартира · 47 м² · 10/12 этаж,35000000,Алматы,,2024.0,1,47.0,10.0,23 нояб.,224
2-комнатная квартира · 55.6 м² · 15/16 этаж,36999000,Алматы,,2024.0,2,55.6,15.0,23 нояб.,229
4-комнатная квартира · 198.4 м² · 4/6 этаж,170000000,Алматы,,2007.0,4,198.4,4.0,23 нояб.,564
3-комнатная квартира · 70 м² · 11/12 этаж,63000000,Алматы,,1992.0,3,70.0,11.0,23 нояб.,9452
4-комнатная квартира · 220 м² · 20/21 этаж,125000000,Алматы,,2014.0,4,220.0,20.0,23 нояб.,1385
2-комнатная квартира · 65 м² · 2/9 этаж,37500000,Алматы,Наурызбайский,2022.0,2,65.0,2.0,23 нояб.,1
1-комнатная квартира · 28.83 м² · 9/17 этаж,17500000,Алматы,,2024.0,1,28.83,9.0,23 нояб.,265
2-комнатная квартира · 60 м² · 3/4 этаж,57000000,Алматы,,1960.0,2,60.0,3.0,23 нояб.,470
4-комнатная квартира · 87 м² · 5/6 этаж,55000000,Алматы,Жетысуский,2018.0,4,87.0,5.0,23 нояб.,245
1-комнатная квартира · 36 м² · 1/5 этаж,21000000,Алматы,,2014.0,1,36.0,1.0,23 нояб.,299
2-комнатная квартира · 44 м² · 2/4 этаж,27500000,Алматы,,1987.0,2,44.0,2.0,23 нояб.,94
2-комнатная квартира · 54 м² · 13/16 этаж,44000000,Алматы,,2020.0,2,54.0,13.0,23 нояб.,99
3-комнатная квартира · 75 м² · 2/5 этаж,41000000,Алматы,,2019.0,3,75.0,2.0,23 нояб.,159
3-комнатная квартира · 121 м² · 6/12 этаж,90000000,Алматы,,2006.0,3,121.0,6.0,23 нояб.,154
1-комнатная квартира · 45.5 м²,19110000,Отеген батыр,,2024.0,1,45.5,,24 нояб.,2670
3-комнатная квартира · 140 м² · 11/13 этаж,125000000,Алматы,,2007.0,3,140.0,11.0,23 нояб.,85
2-комнатная квартира · 65 м² · 2/13 этаж,35500000,Алматы,,2024.0,2,65.0,2.0,23 нояб.,192
3-комнатная квартира · 104 м² · 11/18 этаж,84999990,Алматы,,2022.0,3,104.0,11.0,23 нояб.,241
2-комнатная квартира · 60 м² · 7/10 этаж,34500000,Алматы,,2023.0,2,60.0,7.0,23 нояб.,706
4-комнатная квартира · 135.07 м²,195851500,Алматы,,2024.0,4,135.07,,24 нояб.,2938
3-комнатная квартира · 80 м² · 7/18 этаж,75000000,Алматы,,2015.0,3,80.0,7.0,23 нояб.,156
1-комнатная квартира · 36 м² · 6/9 этаж,30000000,Алматы,Алатауский,2016.0,1,36.0,6.0,23 нояб.,286
2-комнатная квартира · 68 м² · 7 этаж,54000000,Алматы,Алмалинский,1970.0,2,68.0,7.0,23 нояб.,173
3-комнатная квартира · 56 м² · 1/5 этаж,36500000,Алматы,,1982.0,3,56.0,1.0,23 нояб.,30
2-комнатная квартира · 58.5 м² · 4/18 этаж,37000000,Алматы,Алмалинский,2012.0,2,58.5,4.0,23 нояб.,209
1-комнатная квартира · 42 м² · 5/5 этаж,23000000,Алматы,,2007.0,1,42.0,5.0,23 нояб.,1
3-комнатная квартира · 90.3 м² · 1/10 этаж,55000000,Алматы,Турксибский,2021.0,3,90.3,1.0,24 нояб.,165
1-комнатная квартира · 23 м² · 4/4 этаж,10900000,Алматы,Ауэзовский,1974.0,1,23.0,4.0,23 нояб.,9
4-комнатная квартира · 72 м² · 1/4 этаж,50000000,Алматы,,1972.0,4,72.0,1.0,23 нояб.,288
2-комнатная квартира · 68 м² · 10/10 этаж,38500000,Алматы,,2022.0,2,68.0,10.0,23 нояб.,217
3-комнатная квартира · 71 м² · 4/9 этаж,32500000,Алматы,,2021.0,3,71.0,4.0,23 нояб.,4
1-комнатная квартира · 38.1 м² · 9/16 этаж,29500000,Алматы,,2020.0,1,38.1,9.0,23 нояб.,226
3-комнатная квартира · 100 м² · 4/10 этаж,70000000,Алматы,,2018.0,3,100.0,4.0,24 нояб.,270
1-комнатная квартира · 44 м² · 2/5 этаж,36500000,Алматы,,1974.0,1,44.0,2.0,23 нояб.,111
1-комнатная квартира · 39.6 м² · 5/12 этаж,30000000,Алматы,,2024.0,1,39.6,5.0,23 нояб.,0
2-комнатная квартира · 69.1 м² · 7/7 этаж,24500000,Алматы,Алатауский,2024.0,2,69.1,7.0,24 нояб.,158
2-комнатная квартира · 56 м² · 10 этаж,61500000,Алматы,,2024.0,2,56.0,10.0,23 нояб.,285
1-комнатная квартира · 42.5 м² · 7/7 этаж,21700000,Алматы,Алатауский,2015.0,1,42.5,7.0,23 нояб.,104
3-комнатная квартира · 80.8 м² · 3/13 этаж,60000000,Алматы,,2022.0,3,80.8,3.0,24 нояб.,58
3-комнатная квартира · 115.5 м² · 5/17 этаж,68999000,Алматы,,2014.0,3,115.5,5.0,23 нояб.,165
1-комнатная квартира · 45.1 м² · 7/9 этаж,26000000,Алматы,,2017.0,1,45.1,7.0,23 нояб.,3
3-комнатная квартира · 99.6 м² · 2/12 этаж,100000000,Алматы,,2018.0,3,99.6,2.0,23 нояб.,111
3-комнатная квартира · 82 м² · 4/8 этаж,80000000,Алматы,,2019.0,3,82.0,4.0,23 нояб.,267
2-комнатная квартира · 46 м² · 4/10 этаж,36000000,Алматы,,2023.0,2,46.0,4.0,23 нояб.,521
2-комнатная квартира · 38 м² · 1/5 этаж,21500000,Алматы,,2022.0,2,38.0,1.0,23 нояб.,219
2-комнатная квартира · 63.4 м² · 9/9 этаж,35000000,Алматы,Турксибский,2016.0,2,63.4,9.0,23 нояб.,69
2-комнатная квартира · 71 м² · 9/10 этаж,40000000,Алматы,Ауэзовский,2022.0,2,71.0,9.0,23 нояб.,202
1-комнатная квартира · 38 м² · 2/8 этаж,36000000,Алматы,,2019.0,1,38.0,2.0,23 нояб.,1
3-комнатная квартира · 86 м² · 2/4 этаж,39000000,Алматы,,2008.0,3,86.0,2.0,23 нояб.,711
3-комнатная квартира · 56 м² · 2/5 этаж,41000000,Алматы,,1974.0,3,56.0,2.0,23 нояб.,64
1-комнатная квартира · 27 м² · 3/4 этаж,25000000,Алматы,,1961.0,1,27.0,3.0,23 нояб.,84
3-комнатная квартира · 83 м² · 3/13 этаж,41000000,Алматы,,2024.0,3,83.0,3.0,23 нояб.,193
2-комнатная квартира · 42.2 м² · 2/4 этаж,30000000,Алматы,,1965.0,2,42.2,2.0,23 нояб.,6
2-комнатная квартира · 68 м² · 4/9 этаж,38500000,Алматы,Жетысуский,2006.0,2,68.0,4.0,23 нояб.,182
3-комнатная квартира · 66 м² · 4/5 этаж,68000000,Алматы,,1995.0,3,66.0,4.0,23 нояб.,121
2-комнатная квартира · 46.82 м²,31369400,Алматы,,2025.0,2,46.82,,23 нояб.,3516
3-комнатная квартира · 87 м² · 2/9 этаж,85000000,Алматы,,2017.0,3,87.0,2.0,23 нояб.,115
1-комнатная квартира · 42.81 м²,28682700,Алматы,,2025.0,1,42.81,,23 нояб.,2494
2-комнатная квартира · 55.5 м² · 12/18 этаж,36000000,Алматы,,2023.0,2,55.5,12.0,23 нояб.,137
2-комнатная квартира · 69 м² · 12/12 этаж,58000000,Алматы,,2023.0,2,69.0,12.0,23 нояб.,2
3-комнатная квартира · 131.36 м²,108503360,Алматы,,2025.0,3,131.36,,23 нояб.,2861
2-комнатная квартира · 42 м² · 2/5 этаж,39999999,Алматы,,1976.0,2,42.0,2.0,23 нояб.,1170
3-комнатная квартира · 60 м² · 1/5 этаж,25950000,Алматы,,1989.0,3,60.0,1.0,23 нояб.,150
2-комнатная квартира · 60.8 м² · 10/10 этаж,35000000,Алматы,,2022.0,2,60.8,10.0,23 нояб.,98
4-комнатная квартира · 140.06 м²,238102000,Алматы,,2026.0,4,140.06,,24 нояб.,1356
2-комнатная квартира · 77 м² · 2/10 этаж,44000000,Алматы,,2022.0,2,77.0,2.0,23 нояб.,41
3-комнатная квартира · 95 м² · 5/6 этаж,45000000,Алматы,Наурызбайский,2023.0,3,95.0,5.0,23 нояб.,111
1-комнатная квартира · 43 м² · 7/10 этаж,26500000,Алматы,,2021.0,1,43.0,7.0,23 нояб.,106
2-комнатная квартира · 53 м² · 3/10 этаж,26500000,Алматы,,2019.0,2,53.0,3.0,23 нояб.,66
3-комнатная квартира · 115 м² · 7/21 этаж,110000000,Алматы,,2012.0,3,115.0,7.0,23 нояб.,232
1-комнатная квартира · 30.7 м² · 2/4 этаж,15500000,Алматы,,1976.0,1,30.7,2.0,23 нояб.,68
3-комнатная квартира · 92 м² · 2/7 этаж,35500000,Алматы,Алатауский,2023.0,3,92.0,2.0,23 нояб.,4
2-комнатная квартира · 65.4 м² · 8/16 этаж,45000000,Алматы,,2022.0,2,65.4,8.0,23 нояб.,280
3-комнатная квартира · 90.65 м²,44418500,Алматы,,2025.0,3,90.65,,24 нояб.,5284
4-комнатная квартира · 130 м²,123500000,Алматы,,2024.0,4,130.0,,23 нояб.,10063
1-комнатная квартира · 30 м² · 9/12 этаж,30500000,Алматы,,2019.0,1,30.0,9.0,23 нояб.,204
1-комнатная квартира · 40 м² · 4/12 этаж,27500000,Алматы,,2024.0,1,40.0,4.0,23 нояб.,293
3-комнатная квартира · 107.7 м² · 11/20 этаж,106000000,Алматы,,2011.0,3,107.7,11.0,23 нояб.,232
2-комнатная квартира · 67 м² · 10/11 этаж,46400000,Алматы,,2010.0,2,67.0,10.0,23 нояб.,2
2-комнатная квартира · 69 м² · 8/16 этаж,51000000,Алматы,,2013.0,2,69.0,8.0,23 нояб.,73
2-комнатная квартира · 49 м² · 6/12 этаж,23800000,Алматы,Алатауский,2024.0,2,49.0,6.0,24 нояб.,183
3-комнатная квартира · 116.5 м²,87375000,Алматы,,2024.0,3,116.5,,23 нояб.,8910
2-комнатная квартира · 55.25 м² · 3/13 этаж,40000000,Алматы,,2024.0,2,55.25,3.0,23 нояб.,1269
1-комнатная квартира · 39.5 м²,17000000,Коянкус,,2023.0,1,39.5,,23 нояб.,41130
1-комнатная квартира · 37.5 м²,24375000,Алматы,,2025.0,1,37.5,,23 нояб.,3940
3-комнатная квартира · 160 м² · 8/10 этаж,155000000,Алматы,,2008.0,3,160.0,8.0,23 нояб.,2802
3-комнатная квартира · 62.5 м² · 5/5 этаж,41500000,Алматы,Бостандыкский,1977.0,3,62.5,5.0,23 нояб.,197
3-комнатная квартира · 55 м² · 11/12 этаж,34400000,Алматы,,2021.0,3,55.0,11.0,23 нояб.,68
2-комнатная квартира · 66.2 м² · 2/7 этаж,41500000,Алматы,,2022.0,2,66.2,2.0,23 нояб.,58
1-комнатная квартира · 36 м² · 11/13 этаж,31950000,Алматы,,2021.0,1,36.0,11.0,23 нояб.,272
2-комнатная квартира · 52 м² · 10/10 этаж,30500000,Алматы,,2023.0,2,52.0,10.0,23 нояб.,205
3-комнатная квартира · 99.39 м²,74542500,Алматы,,2024.0,3,99.39,,23 нояб.,13886
2-комнатная квартира · 77 м² · 1/16 этаж,33000000,Алматы,,2012.0,2,77.0,1.0,23 нояб.,121
2-комнатная квартира · 86.6 м² · 10/15 этаж,58000000,Алматы,,2012.0,2,86.6,10.0,23 нояб.,176
3-комнатная квартира · 81 м² · 13/13 этаж,67000000,Алматы,,2014.0,3,81.0,13.0,23 нояб.,147
1-комнатная квартира · 32 м² · 3/5 этаж,21500000,Алматы,,1974.0,1,32.0,3.0,23 нояб.,40
3-комнатная квартира · 120 м² · 9/21 этаж,80000000,Алматы,Бостандыкский,2008.0,3,120.0,9.0,24 нояб.,397
1-комнатная квартира · 29 м² · 11/18 этаж,19000000,Алматы,,2024.0,1,29.0,11.0,23 нояб.,187
2-комнатная квартира · 63 м² · 8/10 этаж,32000000,Алматы,Турксибский,2021.0,2,63.0,8.0,24 нояб.,5
3-комнатная квартира · 64 м² · 3/5 этаж,43000000,Алматы,,1974.0,3,64.0,3.0,23 нояб.,295
2-комнатная квартира · 68.6 м² · 7/9 этаж,33500000,Алматы,,2022.0,2,68.6,7.0,23 нояб.,270
3-комнатная квартира · 69.2 м² · 5/5 этаж,34500000,Алматы,Турксибский,1986.0,3,69.2,5.0,23 нояб.,98
1-комнатная квартира · 46 м² · 1/9 этаж,21500000,Алматы,,2024.0,1,46.0,1.0,23 нояб.,130
2-комнатная квартира · 58.6 м² · 6/9 этаж,48000000,Алматы,,2005.0,2,58.6,6.0,23 нояб.,197
1-комнатная квартира · 41 м² · 2/12 этаж,25950000,Алматы,,2019.0,1,41.0,2.0,23 нояб.,279
2-комнатная квартира · 82 м² · 12/12 этаж,54900000,Алматы,,2015.0,2,82.0,12.0,23 нояб.,161
1-комнатная квартира · 41.2 м² · 4/15 этаж,54000000,Алматы,,2023.0,1,41.2,4.0,23 нояб.,65
2-комнатная квартира · 61 м² · 1/9 этаж,34500000,Алматы,,2004.0,2,61.0,1.0,23 нояб.,215
2-комнатная квартира · 33 м² · 6/6 этаж,23500000,Алматы,,2013.0,2,33.0,6.0,23 нояб.,289
2-комнатная квартира · 65 м² · 5/5 этаж,29500000,Алматы,Алатауский,2013.0,2,65.0,5.0,23 нояб.,82
1-комнатная квартира · 32 м² · 5/10 этаж,27000000,Алматы,,2022.0,1,32.0,5.0,23 нояб.,248
4-комнатная квартира · 96.5 м² · 1/5 этаж,67000000,Алматы,,1995.0,4,96.5,1.0,24 нояб.,168
1-комнатная квартира · 27.3 м² · 1/2 этаж,11950000,Алматы,,1960.0,1,27.3,1.0,23 нояб.,167
3-комнатная квартира · 87.2 м²,38542400,Алматы,,2025.0,3,87.2,,24 нояб.,12270
2-комнатная квартира · 74 м² · 1/21 этаж,85000000,Алматы,,2023.0,2,74.0,1.0,23 нояб.,0
1-комнатная квартира · 28 м² · 5/10 этаж,20000000,Алматы,,2022.0,1,28.0,5.0,23 нояб.,1217
2-комнатная квартира · 49.2 м² · 2/14 этаж,33000000,Алматы,,2017.0,2,49.2,2.0,23 нояб.,220
2-комнатная квартира · 100 м² · 19/20 этаж,55000000,Алматы,,2007.0,2,100.0,19.0,23 нояб.,0
3-комнатная квартира · 65 м² · 2/5 этаж,49900000,Алматы,Бостандыкский,1980.0,3,65.0,2.0,24 нояб.,134
2-комнатная квартира · 70 м² · 3/5 этаж,30400000,Алматы,Алатауский,2014.0,2,70.0,3.0,23 нояб.,223
2-комнатная квартира · 71.4 м² · 5/7 этаж,62000000,Алматы,,2024.0,2,71.4,5.0,23 нояб.,186
1-комнатная квартира · 31 м² · 2/9 этаж,19000000,Алматы,,2023.0,1,31.0,2.0,23 нояб.,107
1-комнатная квартира · 52.6 м²,36820000,Алматы,,2025.0,1,52.6,,24 нояб.,5231
3-комнатная квартира · 100 м² · 12/16 этаж,96000000,Алматы,,2021.0,3,100.0,12.0,23 нояб.,106
2-комнатная квартира · 76.62 м²,39425587,Алматы,,2025.0,2,76.62,,23 нояб.,3183
1-комнатная квартира · 49.4 м² · 5/5 этаж,22000000,Алматы,,2023.0,1,49.4,5.0,23 нояб.,2
1-комнатная квартира · 45.9 м² · 6/6 этаж,24000000,Алматы,,2020.0,1,45.9,6.0,23 нояб.,203
1-комнатная квартира · 45 м² · 5/9 этаж,22999999,Алматы,,2018.0,1,45.0,5.0,23 нояб.,296
2-комнатная квартира · 50 м² · 13 этаж,45900000,Алматы,,2019.0,2,50.0,13.0,24 нояб.,465
1-комнатная квартира · 20.9 м² · 1/3 этаж,13000000,Алматы,,2013.0,1,20.9,1.0,23 нояб.,131
3-комнатная квартира · 84.4 м² · 1/4 этаж,35000000,Алматы,,2024.0,3,84.4,1.0,23 нояб.,64
2-комнатная квартира · 51.2 м² · 1/3 этаж,26500000,Алматы,,1978.0,2,51.2,1.0,23 нояб.,61
3-комнатная квартира · 115 м² · 14/16 этаж,88000000,Алматы,,2022.0,3,115.0,14.0,23 нояб.,0
1-комнатная квартира · 47 м² · 2/9 этаж,26500000,Алматы,,2024.0,1,47.0,2.0,23 нояб.,1731
2-комнатная квартира · 40 м² · 13/13 этаж,27000000,Алматы,,2023.0,2,40.0,13.0,23 нояб.,10756
1-комнатная квартира · 42 м² · 1/10 этаж,25500000,Алматы,,2016.0,1,42.0,1.0,23 нояб.,268
1-комнатная квартира · 33.3 м² · 2/5 этаж,28500000,Алматы,,1974.0,1,33.3,2.0,23 нояб.,114
1-комнатная квартира · 34.2 м² · 5/5 этаж,28500000,Алматы,Медеуский,1981.0,1,34.2,5.0,23 нояб.,193
1-комнатная квартира · 35.1 м²,30055659,Алматы,,2025.0,1,35.1,,23 нояб.,20021
2-комнатная квартира · 67 м² · 5/6 этаж,44000000,Алматы,,2024.0,2,67.0,5.0,23 нояб.,219
2-комнатная квартира · 75 м² · 9/9 этаж,85000000,Алматы,,2015.0,2,75.0,9.0,23 нояб.,226
2-комнатная квартира · 68 м² · 4/4 этаж,47500000,Алматы,,2023.0,2,68.0,4.0,23 нояб.,107
3-комнатная квартира · 79 м² · 4/13 этаж,46000000,Алматы,,2024.0,3,79.0,4.0,23 нояб.,277
2-комнатная квартира · 42 м² · 1/2 этаж,21500000,Алматы,,1970.0,2,42.0,1.0,23 нояб.,1
1-комнатная квартира · 33 м²,23000000,Алматы,,1966.0,1,33.0,,23 нояб.,286
3-комнатная квартира · 77 м² · 7/9 этаж,61000000,Алматы,,2022.0,3,77.0,7.0,23 нояб.,59
2-комнатная квартира · 72 м² · 3/7 этаж,78000000,Алматы,,2024.0,2,72.0,3.0,23 нояб.,174
2-комнатная квартира · 42.8 м² · 4/5 этаж,34900000,Алматы,,1975.0,2,42.8,4.0,23 нояб.,60
2-комнатная квартира · 56.6 м² · 2/20 этаж,55200000,Алматы,,2022.0,2,56.6,2.0,23 нояб.,253
1-комнатная квартира · 37.6 м² · 1/2 этаж,27000000,Алматы,,1957.0,1,37.6,1.0,23 нояб.,278
1-комнатная квартира · 17 м² · 1/5 этаж,11000000,Алматы,,2017.0,1,17.0,1.0,23 нояб.,223
4-комнатная квартира · 115 м² · 8/12 этаж,99990000,Алматы,,2019.0,4,115.0,8.0,23 нояб.,196
1-комнатная квартира · 50 м² · 6/9 этаж,25500000,Алматы,,2022.0,1,50.0,6.0,23 нояб.,4
4-комнатная квартира · 120 м² · 2/3 этаж,109900000,Алматы,,2022.0,4,120.0,2.0,23 нояб.,127
2-комнатная квартира · 61.45 м² · 2/12 этаж,26300000,Алматы,,2024.0,2,61.45,2.0,23 нояб.,130
2-комнатная квартира · 46 м² · 12/13 этаж,32500000,Алматы,,2024.0,2,46.0,12.0,23 нояб.,1
3-комнатная квартира · 77 м² · 1/9 этаж,48000000,Алматы,,2013.0,3,77.0,1.0,23 нояб.,102
3-комнатная квартира · 85 м² · 11/11 этаж,52500000,Алматы,,2012.0,3,85.0,11.0,23 нояб.,280
2-комнатная квартира · 63.4 м² · 7/10 этаж,36000000,Алматы,Жетысуский,2018.0,2,63.4,7.0,24 нояб.,285
2-комнатная квартира · 75 м² · 7/10 этаж,31500000,Алматы,,2022.0,2,75.0,7.0,23 нояб.,212
1-комнатная квартира · 13.5 м² · 2/4 этаж,10950000,Алматы,,1968.0,1,13.5,2.0,23 нояб.,3
1-комнатная квартира · 32.7 м²,11608500,Отеген батыр,,2024.0,1,32.7,,23 нояб.,15736
3-комнатная квартира · 125.87 м²,232859500,Алматы,,2024.0,3,125.87,,24 нояб.,3616
1-комнатная квартира · 49 м² · 17/17 этаж,34500000,Алматы,Алмалинский,2022.0,1,49.0,17.0,24 нояб.,117
3-комнатная квартира · 80.96 м²,92537280,Алматы,,2024.0,3,80.96,,23 нояб.,2980
1-комнатная квартира · 39 м² · 4/5 этаж,22000000,Алматы,,2014.0,1,39.0,4.0,23 нояб.,284
5-комнатная квартира · 170.9 м² · 14/15 этаж,115000000,Алматы,,2006.0,5,170.9,14.0,23 нояб.,147
2-комнатная квартира · 52.7 м² · 4/18 этаж,31500000,Алматы,,2023.0,2,52.7,4.0,23 нояб.,3
1-комнатная квартира · 47 м² · 6/10 этаж,28000000,Алматы,,2021.0,1,47.0,6.0,23 нояб.,232
3-комнатная квартира · 68 м² · 1/3 этаж,46000000,Алматы,Турксибский,1983.0,3,68.0,1.0,24 нояб.,299
2-комнатная квартира · 52.07 м²,29159200,Алматы,,2024.0,2,52.07,,23 нояб.,12664
3-комнатная квартира · 76 м²,45000000,Алматы,,2020.0,3,76.0,,23 нояб.,246
4-комнатная квартира · 150 м² · 9/16 этаж,120000000,Алматы,Бостандыкский,2009.0,4,150.0,9.0,24 нояб.,51
3-комнатная квартира · 147 м² · 8/20 этаж,132000000,Алматы,,2016.0,3,147.0,8.0,23 нояб.,237
2-комнатная квартира · 54 м² · 9/16 этаж,48800000,Алматы,,2023.0,2,54.0,9.0,23 нояб.,262
2-комнатная квартира · 44.5 м² · 1/5 этаж,25000000,Алматы,,2022.0,2,44.5,1.0,23 нояб.,71
3-комнатная квартира · 90.6 м² · 6/9 этаж,52000000,Алматы,Жетысуский,2004.0,3,90.6,6.0,23 нояб.,190
2-комнатная квартира · 48 м² · 3/10 этаж,35500000,Алматы,,2022.0,2,48.0,3.0,23 нояб.,147
3-комнатная квартира · 108 м² · 15/29 этаж,150000000,Алматы,,2010.0,3,108.0,15.0,24 нояб.,264
2-комнатная квартира · 53 м² · 4/12 этаж,29900000,Алматы,,1995.0,2,53.0,4.0,23 нояб.,99
4-комнатная квартира · 220 м² · 3/4 этаж,160000000,Алматы,,2012.0,4,220.0,3.0,23 нояб.,232
1-комнатная квартира · 26.4 м² · 2/4 этаж,16900000,Алматы,,2023.0,1,26.4,2.0,23 нояб.,263
1-комнатная квартира · 18 м² · 1/5 этаж,15500000,Алматы,,1972.0,1,18.0,1.0,23 нояб.,199
2-комнатная квартира · 39.2 м² · 3/4 этаж,31000000,Алматы,,1961.0,2,39.2,3.0,23 нояб.,2973
3-комнатная квартира · 65 м² · 3/12 этаж,77000000,Алматы,,2023.0,3,65.0,3.0,23 нояб.,33
2-комнатная квартира · 73.2 м² · 8/9 этаж,44000000,Алматы,Ауэзовский,2006.0,2,73.2,8.0,23 нояб.,18
3-комнатная квартира · 108 м² · 2/7 этаж,162000000,Алматы,,2023.0,3,108.0,2.0,23 нояб.,291
3-комнатная квартира · 73.2 м² · 5/5 этаж,31000000,Алматы,,1994.0,3,73.2,5.0,23 нояб.,58
2-комнатная квартира · 66.5 м² · 2/10 этаж,58000000,Алматы,,2022.0,2,66.5,2.0,23 нояб.,4632
3-комнатная квартира · 98.31 м²,152900000,Алматы,,2023.0,3,98.31,,24 нояб.,12687
3-комнатная квартира · 103 м² · 7/9 этаж,54500000,Алматы,Ауэзовский,2008.0,3,103.0,7.0,23 нояб.,172
1-комнатная квартира · 30 м² · 5/7 этаж,14500000,Алматы,,2014.0,1,30.0,5.0,23 нояб.,6
4-комнатная квартира · 141.1 м² · 14/15 этаж,154000000,Алматы,,2012.0,4,141.1,14.0,23 нояб.,3079
1-комнатная квартира · 30 м²,28000000,Алматы,,2023.0,1,30.0,,23 нояб.,807
3-комнатная квартира · 90 м² · 4/6 этаж,96000000,Алматы,,2021.0,3,90.0,4.0,23 нояб.,91
1-комнатная квартира · 33 м² · 3/9 этаж,19500000,Алматы,,2022.0,1,33.0,3.0,23 нояб.,5
1-комнатная квартира · 45 м² · 8/12 этаж,28000000,Алматы,Алатауский,2021.0,1,45.0,8.0,23 нояб.,297
2-комнатная квартира · 40 м² · 5/10 этаж,28000000,Алматы,,2018.0,2,40.0,5.0,23 нояб.,356
1-комнатная квартира · 39 м² · 6/6 этаж,20600000,Алматы,,2024.0,1,39.0,6.0,23 нояб.,54
2-комнатная квартира · 58.1 м²,32180500,Алматы,,2025.0,2,58.1,,23 нояб.,3469
1-комнатная квартира · 32 м² · 3/4 этаж,22000000,Алматы,,1975.0,1,32.0,3.0,23 нояб.,185
2-комнатная квартира · 48.53 м² · 2/9 этаж,19500000,Алматы,,2024.0,2,48.53,2.0,23 нояб.,272
2-комнатная квартира · 71 м² · 15/21 этаж,59000000,Алматы,,2021.0,2,71.0,15.0,23 нояб.,259
1-комнатная квартира · 42 м² · 4/4 этаж,22400000,Алматы,,1965.0,1,42.0,4.0,23 нояб.,253
2-комнатная квартира · 48 м² · 1/3 этаж,18000000,Алматы,Жетысуский,1975.0,2,48.0,1.0,23 нояб.,121
2-комнатная квартира · 67 м² · 1/9 этаж,42000000,Алматы,,2006.0,2,67.0,1.0,23 нояб.,47
2-комнатная квартира · 64 м² · 1/1 этаж,21500000,Алматы,Турксибский,1982.0,2,64.0,1.0,23 нояб.,2
3-комнатная квартира · 62 м² · 9/10 этаж,33600000,Алматы,Турксибский,2021.0,3,62.0,9.0,23 нояб.,112
2-комнатная квартира · 65 м² · 11/11 этаж,49999000,Алматы,,2017.0,2,65.0,11.0,23 нояб.,3499
3-комнатная квартира · 83 м² · 19/20 этаж,75000000,Алматы,,2023.0,3,83.0,19.0,23 нояб.,1693
1-комнатная квартира · 39.3 м² · 7/14 этаж,25000000,Алматы,Алатауский,2019.0,1,39.3,7.0,23 нояб.,5
3-комнатная квартира · 96 м² · 4/9 этаж,44000000,Алматы,,2018.0,3,96.0,4.0,23 нояб.,65
3-комнатная квартира · 64 м² · 8/18 этаж,43500000,Алматы,,2012.0,3,64.0,8.0,23 нояб.,1
1-комнатная квартира · 50.8 м² · 1/5 этаж,31500000,Алматы,,2015.0,1,50.8,1.0,23 нояб.,189
2-комнатная квартира · 71 м² · 5/12 этаж,68000000,Алматы,,2021.0,2,71.0,5.0,23 нояб.,207
2-комнатная квартира · 49 м² · 8/10 этаж,27500000,Алматы,,2022.0,2,49.0,8.0,23 нояб.,119
1-комнатная квартира · 40.2 м² · 1/9 этаж,26000000,Алматы,Алатауский,2017.0,1,40.2,1.0,23 нояб.,1
3-комнатная квартира · 84 м² · 10/12 этаж,48000000,Алматы,,2020.0,3,84.0,10.0,23 нояб.,81
3-комнатная квартира · 71.7 м² · 1/5 этаж,48500000,Алматы,,1978.0,3,71.7,1.0,23 нояб.,2603
1-комнатная квартира · 45.1 м² · 11/12 этаж,25500000,Алматы,,2018.0,1,45.1,11.0,23 нояб.,203
4-комнатная квартира · 140 м² · 5/5 этаж,78000000,Алматы,Медеуский,2010.0,4,140.0,5.0,23 нояб.,272
5-комнатная квартира · 162 м² · 2/12 этаж,149000000,Алматы,,1994.0,5,162.0,2.0,23 нояб.,1051
2-комнатная квартира · 72.46 м² · 10/18 этаж,42500000,Алматы,,2024.0,2,72.46,10.0,23 нояб.,161
4-комнатная квартира · 128.8 м² · 2/12 этаж,80000000,Алматы,Ауэзовский,2023.0,4,128.8,2.0,23 нояб.,242
3-комнатная квартира · 65 м² · 7/20 этаж,74000000,Алматы,,2023.0,3,65.0,7.0,23 нояб.,1837
2-комнатная квартира · 66 м² · 13/17 этаж,65000000,Алматы,,2023.0,2,66.0,13.0,23 нояб.,1277
2-комнатная квартира · 50.3 м² · 3/5 этаж,20500000,Алматы,,2024.0,2,50.3,3.0,23 нояб.,306
1-комнатная квартира · 45.3 м² · 1/5 этаж,26500000,Алматы,Жетысуский,1989.0,1,45.3,1.0,23 нояб.,131
2-комнатная квартира · 60 м² · 3/13 этаж,46800000,Алматы,,2021.0,2,60.0,3.0,23 нояб.,287
2-комнатная квартира · 59 м² · 8/10 этаж,34500000,Алматы,,2022.0,2,59.0,8.0,23 нояб.,42
3-комнатная квартира · 75 м² · 4/6 этаж,35500000,Алматы,,2022.0,3,75.0,4.0,23 нояб.,230
